country,points,price,province,title,variety,winery
France,94,355,Burgundy,Albert Bichot 2014 Les Amoureuses Premier Cru  (Chambolle-Musigny),Pinot Noir,Albert Bichot
France,95,353,Burgundy,Domaine Faiveley 2014  Mazis-Chambertin,Pinot Noir,Domaine Faiveley
France,95,350,Burgundy,Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour
France,95,350,Burgundy,Louis Latour 2014 Cuvée Héritiers Latour  (Chambertin),Pinot Noir,Louis Latour
France,92,350,Burgundy,Louis Latour 2014  Echézeaux,Pinot Noir,Louis Latour
France,91,350,Burgundy,Louis Latour 2008  Romanée-St.-Vivant,Pinot Noir,Louis Latour
France,96,330,Burgundy,Roche de Bellene 2014  Charmes-Chambertin,Pinot Noir,Roche de Bellene
France,95,330,Burgundy,Roche de Bellene 2014  Echézeaux,Pinot Noir,Roche de Bellene
France,95,330,Burgundy,Roche de Bellene 2014  Clos Saint-Denis,Pinot Noir,Roche de Bellene
France,94,330,Burgundy,Louis Latour 2014  Clos de Vougeot,Pinot Noir,Louis Latour
France,93,330,Burgundy,Domaine du Comte Liger-Belair 2006  Echézeaux,Pinot Noir,Domaine du Comte Liger-Belair
France,95,330,Burgundy,Chanson Père et Fils 2013  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils
France,94,320,Burgundy,Domaine Perrot-Minot 2010 La Combe d'Orveau Cuvée Ultra Premier Cru  (Chambolle-Musigny),Pinot Noir,Domaine Perrot-Minot
France,98,319,Burgundy,Clos de Tart 2005  Clos de Tart,Pinot Noir,Clos de Tart
France,94,314,Burgundy,Domaine Faiveley 2014  Latricières-Chambertin,Pinot Noir,Domaine Faiveley
France,95,312,Burgundy,Roche de Bellene 2012  Charmes-Chambertin,Pinot Noir,Roche de Bellene
France,94,312,Burgundy,Roche de Bellene 2012  Clos de Vougeot,Pinot Noir,Roche de Bellene
France,95,312,Burgundy,Roche de Bellene 2012  Clos de la Roche,Pinot Noir,Roche de Bellene
France,94,310,Burgundy,Louis Latour 2012 Cuvée Héritiers Latour  (Chambertin),Pinot Noir,Louis Latour
France,95,307,Burgundy,Domaine Méo-Camuzet 2013  Clos de Vougeot,Pinot Noir,Domaine Méo-Camuzet
France,94,306,Burgundy,Albert Bichot 2014 Domaine du Clos Frantin  (Clos de Vougeot),Pinot Noir,Albert Bichot
France,96,304,Burgundy,Domaine Dujac 2009 Clos de la Roche  (Clos de la Roche),Pinot Noir,Domaine Dujac
France,95,304,Burgundy,Domaine Dujac 2009 Clos de Saint-Denis  (Clos Saint-Denis),Pinot Noir,Domaine Dujac
France,94,301,Burgundy,Jean-Luc and Paul Aegerter 2014  Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter
France,95,300,Burgundy,Chanson Père et Fils 2011  Chambertin Clos de Bèze,Pinot Noir,Chanson Père et Fils
France,96,300,Champagne,Jacquesson et Fils 2002 Aÿ Vauzelle Terre Pinot Noir (Champagne),Pinot Noir,Jacquesson et Fils
France,95,300,Burgundy,Domaine Jayer-Gilles 2006 Echézeaux du Dessus  (Echézeaux),Pinot Noir,Domaine Jayer-Gilles
France,94,299,Burgundy,Domaine Jacques Prieur 2014  Clos de Vougeot,Pinot Noir,Domaine Jacques Prieur
France,92,299,Burgundy,Louis Latour 2008  Charmes-Chambertin,Pinot Noir,Louis Latour
France,94,299,Burgundy,Domaine Jacques Prieur 2008 Corton Bressandes  (Corton-Bressandes),Pinot Noir,Domaine Jacques Prieur
France,95,295,Burgundy,Roche de Bellene 2011  Clos de la Roche,Pinot Noir,Roche de Bellene
France,95,295,Burgundy,Albert Bichot 2014  Clos de la Roche,Pinot Noir,Albert Bichot
France,95,290,Burgundy,Domaine Faiveley 2010  Mazis-Chambertin,Pinot Noir,Domaine Faiveley
France,97,288,Burgundy,Louis Jadot 2013  Chapelle-Chambertin,Pinot Noir,Louis Jadot
France,97,286,Burgundy,Louis Jadot 2014  Clos de la Roche,Pinot Noir,Louis Jadot
France,95,286,Burgundy,Louis Jadot 2014  Chapelle-Chambertin,Pinot Noir,Louis Jadot
France,94,285,Burgundy,Joseph Drouhin 2007  Grands-Echezeaux,Pinot Noir,Joseph Drouhin
France,96,281,Burgundy,Domaine Jean Grivot 2013  Clos de Vougeot,Pinot Noir,Domaine Jean Grivot
France,94,280,Burgundy,Joseph Drouhin 2008 Les Amoureuses Premier Cru  (Chambolle-Musigny),Pinot Noir,Joseph Drouhin
France,93,280,Burgundy,Louis Latour 2011  Clos de Vougeot,Pinot Noir,Louis Latour
France,93,280,Burgundy,Louis Latour 2011 Cuvée Héritiers Latour  (Chambertin),Pinot Noir,Louis Latour
France,93,279,Burgundy,Louis Latour 2008  Echézeaux,Pinot Noir,Louis Latour
France,94,279,Burgundy,Domaine Faiveley 2014 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley
France,95,279,Burgundy,Domaine Faiveley 2014  Echézeaux,Pinot Noir,Domaine Faiveley
France,93,279,Burgundy,Domaine Jacques Prieur 2014  Corton-Bressandes,Pinot Noir,Domaine Jacques Prieur
US,93,275,Oregon,Domaine Serene 2012 Monogram Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene
France,95,272,Burgundy,Camille Giroud 2008 Chambertin  (Chambertin),Pinot Noir,Camille Giroud
France,95,270,Burgundy,David Duband 2014  Latricières-Chambertin,Pinot Noir,David Duband
France,94,262,Burgundy,Roche de Bellene 2011  Charmes-Chambertin,Pinot Noir,Roche de Bellene
France,95,262,Burgundy,Roche de Bellene 2011  Echézeaux,Pinot Noir,Roche de Bellene
France,93,260,Burgundy,Jean-Luc and Paul Aegerter 2013  Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter
France,92,260,Burgundy,Louis Latour 2010  Clos de Vougeot,Pinot Noir,Louis Latour
France,93,260,Burgundy,Jean-Luc and Paul Aegerter 2013  Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter
France,92,260,Burgundy,Louis Latour 2010  Chambertin,Pinot Noir,Louis Latour
France,94,260,Burgundy,Château de Santenay 2015  Clos de Vougeot,Pinot Noir,Château de Santenay
France,94,257,Burgundy,Domaine Faiveley 2011  Latricières-Chambertin,Pinot Noir,Domaine Faiveley
France,91,255,Burgundy,L. Tramier & Fils 2010 Collection  (Clos de Vougeot),Pinot Noir,L. Tramier & Fils
France,93,250,Burgundy,Domaine Bertagna 2009 Clos Vougeot  (Clos de Vougeot),Pinot Noir,Domaine Bertagna
France,94,250,Burgundy,Domaine Bertagna 2008 Clos Saint-Denis  (Clos Saint-Denis),Pinot Noir,Domaine Bertagna
France,92,249,Burgundy,Louis Latour 2008 Cuvée Héritiers Latour  (Chambertin),Pinot Noir,Louis Latour
France,94,248,Burgundy,Chanson Père et Fils 2009  Chambertin Clos de Bèze,Pinot Noir,Chanson Père et Fils
France,96,240,Burgundy,Domaine Rossignol-Trapet 2011  Chambertin,Pinot Noir,Domaine Rossignol-Trapet
France,95,240,Burgundy,Domaines Devillard 2014 Domaine des Perdrix  (Echézeaux),Pinot Noir,Domaines Devillard
France,91,240,Burgundy,Domaine Henri Rebourseau 2000 Charmes Chambertin  (Charmes-Chambertin),Pinot Noir,Domaine Henri Rebourseau
France,90,240,Burgundy,Louis Latour 2005  Clos de Vougeot,Pinot Noir,Louis Latour
France,94,236,Burgundy,Domaine Dujac 2009 Les Beaux-Monts  (Vosne-Romanée),Pinot Noir,Domaine Dujac
France,96,231,Burgundy,Louis Jadot 2014  Echézeaux,Pinot Noir,Louis Jadot
France,93,230,Burgundy,Domaine des Perdrix 2008  Echézeaux,Pinot Noir,Domaine des Perdrix
France,94,230,Burgundy,Domaines Devillard 2011 Domaine des Perdrix  (Echézeaux),Pinot Noir,Domaines Devillard
France,92,229,Burgundy,Louis Latour 2008  Clos de Vougeot,Pinot Noir,Louis Latour
France,93,226,Burgundy,Domaine Faiveley 2011  Echézeaux,Pinot Noir,Domaine Faiveley
France,95,225,Burgundy,Domaine Faiveley 2011 Clos des Cortons Faiveley  (Corton-Rognet),Pinot Noir,Domaine Faiveley
France,94,225,Burgundy,Jean-Claude Boisset 2011  Echézeaux,Pinot Noir,Jean-Claude Boisset
France,93,225,Burgundy,Bouchard Père & Fils 2006  Chapelle-Chambertin,Pinot Noir,Bouchard Père & Fils
France,95,225,Burgundy,Domaine Faiveley 2010  Echézeaux,Pinot Noir,Domaine Faiveley
France,94,225,Burgundy,Château de la Tour 2013  Clos de Vougeot,Pinot Noir,Château de la Tour
France,96,225,Burgundy,Chanson Père et Fils 2005  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils
France,93,224,Burgundy,Domaine Dujac 2009 Les Combottes  (Gevrey-Chambertin),Pinot Noir,Domaine Dujac
France,94,220,Burgundy,Château de Santenay 2014  Clos de Vougeot,Pinot Noir,Château de Santenay
France,94,220,Burgundy,Domaine de Bellene 2014 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Domaine de Bellene
France,94,215,Burgundy,Domaine Faiveley 2010 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley
France,94,215,Burgundy,Jean-Claude Boisset 2011  Clos de Vougeot,Pinot Noir,Jean-Claude Boisset
France,96,215,Burgundy,Domaine des Lambrays 2014  Clos de Lambrays,Pinot Noir,Domaine des Lambrays
France,95,208,Burgundy,Louis Jadot 2013 Clos Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
France,94,206,Burgundy,Louis Jadot 2014 Clos Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
France,94,205,Burgundy,Chanson Père et Fils 2008  Clos de Vougeot,Pinot Noir,Chanson Père et Fils
France,93,203,Burgundy,Domaine Jacques Prieur 2008 Clos Vougeot  (Clos de Vougeot),Pinot Noir,Domaine Jacques Prieur
France,95,200,Burgundy,Alex Gambal 2011  Latricières-Chambertin,Pinot Noir,Alex Gambal
France,95,200,Burgundy,Alex Gambal 2013  Charmes-Chambertin,Pinot Noir,Alex Gambal
France,95,200,Burgundy,Domaine Bertagna 2015  Clos Saint-Denis,Pinot Noir,Domaine Bertagna
France,93,200,Burgundy,Jean-Luc and Paul Aegerter 2012  Corton Vergennes,Pinot Noir,Jean-Luc and Paul Aegerter
France,95,200,Burgundy,Bouchard Père & Fils 2006  Clos de Vougeot,Pinot Noir,Bouchard Père & Fils
France,93,197,Burgundy,Domaine Heresztyn 2010  Clos Saint-Denis,Pinot Noir,Domaine Heresztyn
France,95,196,Burgundy,Louis Jadot 2014  Clos de Vougeot,Pinot Noir,Louis Jadot
France,94,195,Burgundy,Domaines Devillard 2010 Domaine des Perdrix  (Echézeaux),Pinot Noir,Domaines Devillard
France,94,195,Burgundy,Albert Bichot 2014 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot
France,95,195,Burgundy,Faiveley 2005 Clos des Cortons  (Corton),Pinot Noir,Faiveley
France,95,195,Burgundy,Albert Bichot 2015 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot
France,91,193,Burgundy,Bouchard Aîné & Fils 2011 Cuvée Signature  (Clos de la Roche),Pinot Noir,Bouchard Aîné & Fils
France,94,190,Burgundy,Chanson Père et Fils 2008  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils
France,94,190,Burgundy,Domaine Moillard 2005  Clos de Vougeot,Pinot Noir,Domaine Moillard
France,94,187,Burgundy,Chanson Père et Fils 2009  Clos de Vougeot,Pinot Noir,Chanson Père et Fils
France,93,185,Burgundy,Camille Giroud 2008 Latricières Chambertin  (Latricières-Chambertin),Pinot Noir,Camille Giroud
US,94,185,Oregon,Domaine Serene 2013 Grace Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene
France,91,184,Burgundy,Jean-Luc and Paul Aegerter 2011 Corton Vergennes Grand Cru  (Corton Vergennes),Pinot Noir,Jean-Luc and Paul Aegerter
France,95,180,Burgundy,Alex Gambal 2011  Clos de Vougeot,Pinot Noir,Alex Gambal
France,93,180,Burgundy,Manuel Olivier 2012  Clos de Vougeot,Pinot Noir,Manuel Olivier
France,92,180,Burgundy,Manuel Olivier 2011  Clos de Vougeot,Pinot Noir,Manuel Olivier
France,92,180,Burgundy,Manuel Olivier 2011  Clos de Vougeot,Pinot Noir,Manuel Olivier
France,93,179,Burgundy,Jean-Claude Boisset 2009  Echézeaux,Pinot Noir,Jean-Claude Boisset
France,94,175,Burgundy,Chanson Père et Fils 2011  Corton,Pinot Noir,Chanson Père et Fils
US,93,175,Oregon,Domaine Serene 2011 Grace Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene
France,95,170,Burgundy,Domaine Rossignol-Trapet 2011  Chapelle-Chambertin,Pinot Noir,Domaine Rossignol-Trapet
France,95,170,Burgundy,Louis Latour 2014 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour
France,93,170,Burgundy,Jean-Luc and Paul Aegerter 2014  Corton Vergennes,Pinot Noir,Jean-Luc and Paul Aegerter
France,93,169,Burgundy,Henri de Villamont 2010  Clos de Vougeot,Pinot Noir,Henri de Villamont
France,93,169,Burgundy,Jean-Claude Boisset 2005  Chambertin,Pinot Noir,Jean-Claude Boisset
France,95,168,Burgundy,Joseph Drouhin 2012 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Joseph Drouhin
France,94,168,Burgundy,Camille Giroud 2008 Charmes Chambertin  (Charmes-Chambertin),Pinot Noir,Camille Giroud
France,94,166,Burgundy,Domaine Chantal Lescure 2011 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Domaine Chantal Lescure
France,93,166,Burgundy,Louis Jadot 2014 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Jadot
France,95,165,Burgundy,Louis Latour 2015 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour
France,95,164,Burgundy,Joseph Drouhin 2008  Charmes-Chambertin,Pinot Noir,Joseph Drouhin
France,94,163,Burgundy,Domaine de la Pousse d'Or 2009 Corton Bressandes  (Corton-Bressandes),Pinot Noir,Domaine de la Pousse d'Or
France,94,163,Burgundy,Domaine de la Pousse d'Or 2009 Corton Clos du Roi  (Corton),Pinot Noir,Domaine de la Pousse d'Or
France,92,160,Burgundy,Louis Latour 2012 Les Beaux Monts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour
Switzerland,89,160,Switzerland,Gantenbein 2011 Pinot Noir (Switzerland),Pinot Noir,Gantenbein
Switzerland,89,160,Switzerland,Gantenbein 2012 Pinot Noir (Switzerland),Pinot Noir,Gantenbein
Switzerland,89,160,Switzerland,Gantenbein 2012 Pinot Noir (Switzerland),Pinot Noir,Gantenbein
France,93,160,Burgundy,Louis Max 2013 Clos Prieur Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Max
France,92,160,Burgundy,Bouchard Père & Fils 2006 Aux Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Bouchard Père & Fils
US,98,155,California,Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
France,92,153,Burgundy,Jean-Luc and Paul Aegerter 2012  Corton Vergennes,Pinot Noir,Jean-Luc and Paul Aegerter
France,91,153,Burgundy,Faiveley 2014 Les Charmes Premier Cru  (Chambolle-Musigny),Pinot Noir,Faiveley
US,92,150,Oregon,Hyland 2012 Select Whole Cluster Pinot Noir (McMinnville),Pinot Noir,Hyland
France,94,150,Burgundy,Albert Bichot 2014 Domaine du Pavillon Clos des Maréchaudes  (Corton),Pinot Noir,Albert Bichot
US,96,150,California,Keller Estate 2005 Precioso Pinot Noir (Sonoma Coast),Pinot Noir,Keller Estate
US,91,150,Oregon,Archery Summit 2014 Archery Summit Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
US,94,150,Oregon,Archery Summit 2011 Archery Summit Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,91,150,Burgundy,L. Tramier & Fils 2013 Collection  (Vosne-Romanée),Pinot Noir,L. Tramier & Fils
US,97,150,California,Wayfarer 2012 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
France,93,150,Burgundy,Maison Champy 2006  Echézeaux,Pinot Noir,Maison Champy
Argentina,90,150,Other,Bodega Chacra 2008 Treinta y Dos Pinot Noir (Río Negro Valley),Pinot Noir,Bodega Chacra
US,93,150,Oregon,Archery Summit 2008 Archery Summit Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,94,150,Burgundy,Louis Latour 2014  Corton Perrières,Pinot Noir,Louis Latour
US,96,150,California,Wayfarer 2013 Estate Grown The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
US,88,150,Oregon,Archery Summit 2004 Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,92,150,Burgundy,Domaine Pascal Prunier-Bonheur 2015 Les Sizies Premier Cru  (Beaune),Pinot Noir,Domaine Pascal Prunier-Bonheur
France,93,150,Burgundy,Alex Gambal 2014 Les Echanges Premier Cru  (Chambolle-Musigny),Pinot Noir,Alex Gambal
France,92,150,Burgundy,Bouchard Père & Fils 2006 Beaune Grèves Vigne de l'Enfant Jésus Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils
US,94,150,Oregon,Archery Summit 2012 Archery Summit Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,92,149,Burgundy,Bouchard Père & Fils 2007 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Bouchard Père & Fils
France,92,149,Burgundy,Domaine Jayer-Gilles 2006 Les Hauts Poirets  (Nuits-St.-Georges),Pinot Noir,Domaine Jayer-Gilles
France,94,149,Burgundy,Domaine Jacques Prieur 2009 Clos de Santenots  (Volnay),Pinot Noir,Domaine Jacques Prieur
France,89,148,Burgundy,Jean-Luc and Paul Aegerter 2010 Les Vaucrains Premier Cru  (Nuits-St.-Georges),Pinot Noir,Jean-Luc and Paul Aegerter
France,88,148,Burgundy,Jean-Luc and Paul Aegerter 2011 Les Vaucrains Premier Cru  (Nuits-St.-Georges),Pinot Noir,Jean-Luc and Paul Aegerter
France,93,146,Burgundy,Domaine de la Pousse d'Or 2009 Clos de la Bousse d'Or  (Volnay),Pinot Noir,Domaine de la Pousse d'Or
France,91,145,Burgundy,Domaine Jacques Prieur 2014 Santenots Premier Cru  (Volnay),Pinot Noir,Domaine Jacques Prieur
France,92,145,Burgundy,Louis Latour 2011 Les Petits Monts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour
France,94,145,Burgundy,Domaine Faiveley 2014 Les Cazetiers Premier Cru  (Gevrey-Chambertin),Pinot Noir,Domaine Faiveley
France,91,145,Burgundy,Chanson Père et Fils 2005 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Chanson Père et Fils
France,94,145,Burgundy,Domaine Henri Delagrange 2014 Santenots Premier Cru  (Volnay),Pinot Noir,Domaine Henri Delagrange
France,93,145,Burgundy,Bouchard Père & Fils 2006 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Bouchard Père & Fils
US,93,145,California,Hanzell 2007 Ambassador's 1953 Vineyard Pinot Noir (Sonoma Valley),Pinot Noir,Hanzell
France,92,145,Burgundy,Bouchard Père & Fils 2007 Aux Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Bouchard Père & Fils
France,95,143,Burgundy,Domaine des Croix 2014 La Vigne au Saint  (Corton),Pinot Noir,Domaine des Croix
France,93,142,Burgundy,Roche de Bellene 2014 Champeaux Premier Cru  (Gevrey-Chambertin),Pinot Noir,Roche de Bellene
France,95,142,Burgundy,Roche de Bellene 2014  Corton,Pinot Noir,Roche de Bellene
France,91,141,Burgundy,Jean-Luc and Paul Aegerter 2012 Les Rugiens Premier Cru  (Pommard),Pinot Noir,Jean-Luc and Paul Aegerter
France,94,141,Burgundy,Domaine Vincent Girardin 2010  Echézeaux,Pinot Noir,Domaine Vincent Girardin
France,89,141,Burgundy,Joseph Faiveley 2011 Les Charmes Premier Cru  (Chambolle-Musigny),Pinot Noir,Joseph Faiveley
France,90,140,Burgundy,Louis Latour 2008 Les Beaumonts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour
France,92,140,Burgundy,Louis Latour 2011 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour
France,93,140,Burgundy,Jean-Claude Boisset 2011 Les Charmes Premier Cru  (Chambolle-Musigny),Pinot Noir,Jean-Claude Boisset
France,93,140,Burgundy,Albert Bichot 2014 Les Chabiots Premier Cru  (Chambolle-Musigny),Pinot Noir,Albert Bichot
France,93,140,Burgundy,Au Pied du Mont Chauve 2012 Clos des Fietres  (Corton),Pinot Noir,Au Pied du Mont Chauve
France,94,140,Burgundy,Louis Latour 2014 Clos de la Vigne au Saint  (Corton),Pinot Noir,Louis Latour
France,89,140,Burgundy,L. Tramier & Fils 2015 Collection Tramier  (Corton),Pinot Noir,L. Tramier & Fils
France,93,140,Burgundy,Pierre André 2007 Corton les Renardes Grand Cru  (Corton),Pinot Noir,Pierre André
France,94,140,Burgundy,Au Pied du Mont Chauve 2013 Clos des Fietres  (Corton),Pinot Noir,Au Pied du Mont Chauve
France,94,139,Burgundy,Capitain-Gagnerot 2013  Echézeaux,Pinot Noir,Capitain-Gagnerot
France,93,138,Burgundy,Domaine Jacques Prieur 2009 Champans  (Volnay),Pinot Noir,Domaine Jacques Prieur
France,98,138,Burgundy,Louis Jadot 2005  Clos de la Roche,Pinot Noir,Louis Jadot
France,94,135,Burgundy,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband
France,91,135,Burgundy,Louis Latour 2009 Les Chatelots  (Chambolle-Musigny),Pinot Noir,Louis Latour
France,95,135,Burgundy,Louis Jadot 2013 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
France,93,135,Burgundy,Louis Jadot 2013 Les Cazetiers Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
France,93,135,Burgundy,Louis Latour 2014 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour
France,92,135,Burgundy,Bouchard Père & Fils 2008 Les Cailles Premier Cru  (Nuits-St.-Georges),Pinot Noir,Bouchard Père & Fils
France,98,134,Burgundy,Louis Jadot 2005  Charmes-Chambertin,Pinot Noir,Louis Jadot
France,94,133,Burgundy,Louis Jadot 2013 Les Estournelles Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
France,93,132,Burgundy,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot
France,94,132,Burgundy,Domaine des Croix 2011  Corton Grèves,Pinot Noir,Domaine des Croix
